Date,HiTec,Utils,Market,SMB,HML
2001-04-01,17.65,5.14,7.94,0.55,-4.67
2001-05-01,-3.53,-0.08,0.72,2.5,3.36
2001-06-01,1.12,-6.33,-1.94,6.24,-1.12
2001-07-01,-7.83,-4.13,-2.13,-4.19,5.21
2001-08-01,-12.96,0.21,-6.46,2.48,2.31
2001-09-01,-19.26,-6.86,-9.25,-6.23,1.45
2001-10-01,15.51,1.65,2.46,7.48,-7.65
2001-11-01,15.72,-1.71,7.54,-0.47,2.21
2001-12-01,-0.79,3.89,1.6,4.74,0.84
2002-01-01,-0.64,-4.48,-1.44,1.19,3.44
2002-02-01,-13.22,-0.5,-2.29,-1.01,2.16
2002-03-01,6.34,10.15,4.24,4.21,1.06
2002-04-01,-11.92,-0.56,-5.2,5.96,3.88
2002-05-01,-3.88,-7.05,-1.38,-3.21,1.53
2002-06-01,-12.26,-5.93,-7.21,4.29,-0.05
2002-07-01,-9.89,-12.28,-8.18,-5.28,-3.85
2002-08-01,-1.08,3.27,0.5,-2.86,3.28
2002-09-01,-16.74,-10.98,-10.35,2.41,1.45
2002-10-01,19.26,-0.76,7.84,-3.42,-3.94
2002-11-01,16.12,1.45,5.96,3.19,-1.26
2002-12-01,-13.02,3.73,-5.76,0.08,2.14
2003-01-01,-1.6,-3.37,-2.57,1.32,-0.81
2003-02-01,1.08,-4.06,-1.88,-0.46,-1.37
2003-03-01,-1.05,4.21,1.09,1.02,-1.94
2003-04-01,9.08,7.21,8.22,0.62,1.15
2003-05-01,9.71,10.03,6.05,4.67,0.39
2003-06-01,0.25,0.64,1.42,1.74,0.11
2003-07-01,5.55,-5.22,2.35,5.06,-1.24
2003-08-01,6.0,1.85,2.34,2.59,1.53
2003-09-01,-0.99,3.77,-1.24,0.79,0.17
2003-10-01,8.21,1.44,6.08,2.69,1.97
2003-11-01,1.78,0.88,1.35,2.08,1.78
2003-12-01,2.08,5.77,4.29,-2.67,1.6
2004-01-01,4.44,1.84,2.15,2.55,2.49
2004-02-01,-2.98,2.05,1.4,-1.57,0.88
2004-03-01,-2.6,1.05,-1.32,1.72,0.27
2004-04-01,-4.97,-3.64,-1.83,-1.7,-3.07
2004-05-01,4.76,1.19,1.17,-0.2,-0.25
2004-06-01,2.59,1.95,1.86,2.26,1.18
2004-07-01,-8.61,0.96,-4.06,-3.82,3.24
2004-08-01,-4.62,3.55,0.08,-1.48,0.97
2004-09-01,3.36,1.27,1.6,3.01,0.0
2004-10-01,5.04,4.13,1.43,0.15,-0.22
2004-11-01,5.61,4.74,4.54,3.74,1.41
2004-12-01,2.94,2.33,3.43,-0.03,-0.22
2005-01-01,-6.51,1.6,-2.76,-1.72,2.06
2005-02-01,-0.12,2.2,1.89,-0.57,1.54
2005-03-01,-2.74,0.4,-1.97,-1.4,2.04
2005-04-01,-4.68,1.92,-2.61,-3.94,0.07
2005-05-01,7.96,1.42,3.65,2.88,-0.64
2005-06-01,-1.87,5.33,0.57,2.58,2.83
2005-07-01,5.92,2.74,3.92,2.91,-0.79
2005-08-01,-0.66,0.95,-1.22,-0.97,1.32
2005-09-01,0.36,4.09,0.49,-0.65,0.71
2005-10-01,-2.05,-7.12,-2.02,-1.25,0.42
2005-11-01,6.16,-0.53,3.61,1.0,-1.16
2005-12-01,-2.23,0.92,-0.25,-0.42,0.2
2006-01-01,3.73,2.68,3.04,5.4,1.08
2006-02-01,-1.33,-0.12,-0.3,-0.38,-0.34
2006-03-01,2.49,-4.01,1.46,3.44,0.6
2006-04-01,-1.51,1.49,0.73,-1.42,2.34
2006-05-01,-7.33,1.07,-3.57,-2.96,2.41
2006-06-01,-1.84,2.01,-0.35,-0.39,0.85
2006-07-01,-4.19,4.43,-0.78,-3.98,2.6
2006-08-01,7.0,1.86,2.03,1.03,-2.06
2006-09-01,3.16,-2.52,1.84,-1.36,0.08
2006-10-01,3.64,4.95,3.23,1.75,-0.31
2006-11-01,2.59,2.64,1.71,0.7,0.14
2006-12-01,-1.39,0.33,0.87,-1.15,2.73
2007-01-01,1.56,0.07,1.4,0.12,-0.68
2007-02-01,-2.72,3.76,-1.96,1.19,-0.14
2007-03-01,0.43,3.9,0.68,0.16,-0.97
2007-04-01,4.45,3.5,3.49,-2.16,-1.45
2007-05-01,3.52,0.79,3.24,0.24,-0.65
